date,Weekday,vacances,est_jour_ferie,nom_jour_ferie,nom_vacances
2018-11-05,Lundi,FALSE,FALSE,,
2018-11-06,Mardi,FALSE,FALSE,,
2018-11-07,Mercredi,FALSE,FALSE,,
2018-11-08,Jeudi,FALSE,FALSE,,
2018-11-09,Vendredi,FALSE,FALSE,,
2018-11-10,Samedi,FALSE,FALSE,,
2018-11-11,Dimanche,FALSE,FALSE,,
2018-11-12,Lundi,FALSE,FALSE,,
2018-11-13,Mardi,FALSE,FALSE,,
2018-11-14,Mercredi,FALSE,FALSE,,
2018-11-15,Jeudi,FALSE,FALSE,,
2018-11-16,Vendredi,FALSE,FALSE,,
2018-11-17,Samedi,FALSE,FALSE,,
2018-11-18,Dimanche,FALSE,FALSE,,
2018-11-19,Lundi,FALSE,FALSE,,
2018-11-20,Mardi,FALSE,FALSE,,
2018-11-21,Mercredi,FALSE,FALSE,,
2018-11-22,Jeudi,FALSE,FALSE,,
2018-11-23,Vendredi,FALSE,FALSE,,
2018-11-24,Samedi,FALSE,FALSE,,
2018-11-25,Dimanche,FALSE,FALSE,,
2018-11-26,Lundi,FALSE,FALSE,,
2018-11-27,Mardi,FALSE,FALSE,,
2018-11-28,Mercredi,FALSE,FALSE,,
2018-11-29,Jeudi,FALSE,FALSE,,
2018-11-30,Vendredi,FALSE,FALSE,,
2018-12-01,Samedi,FALSE,FALSE,,
2018-12-02,Dimanche,FALSE,FALSE,,
2018-12-03,Lundi,FALSE,FALSE,,
2018-12-04,Mardi,FALSE,FALSE,,
2018-12-05,Mercredi,FALSE,FALSE,,
2018-12-06,Jeudi,FALSE,FALSE,,
2018-12-07,Vendredi,FALSE,FALSE,,
2018-12-08,Samedi,FALSE,FALSE,,
2018-12-09,Dimanche,FALSE,FALSE,,
2018-12-10,Lundi,FALSE,FALSE,,
2018-12-11,Mardi,FALSE,FALSE,,
2018-12-12,Mercredi,FALSE,FALSE,,
2018-12-13,Jeudi,FALSE,FALSE,,
2018-12-14,Vendredi,FALSE,FALSE,,
2018-12-15,Samedi,FALSE,FALSE,,
2018-12-16,Dimanche,FALSE,FALSE,,
2018-12-17,Lundi,FALSE,FALSE,,
2018-12-18,Mardi,FALSE,FALSE,,
2018-12-19,Mercredi,FALSE,FALSE,,
2018-12-20,Jeudi,FALSE,FALSE,,
2018-12-21,Vendredi,FALSE,FALSE,,
2018-12-22,Samedi,FALSE,FALSE,,
2018-12-23,Dimanche,True,TRUE,Noeel,Vacances de Noeel
2018-12-24,Lundi,True,FALSE,,Vacances de Noeel
2018-12-25,Mardi,True,FALSE,,Vacances de Noeel
2018-12-26,Mercredi,True,FALSE,,Vacances de Noeel
2018-12-27,Jeudi,True,FALSE,,Vacances de Noeel
2018-12-28,Vendredi,True,FALSE,,Vacances de Noeel
2018-12-29,Samedi,True,FALSE,,Vacances de Noeel
2018-12-30,Dimanche,True,FALSE,,Vacances de Noeel
2018-12-31,Lundi,True,FALSE,,Vacances de Noeel
2019-01-01,Mardi,True,TRUE,Nouvel an,Vacances de Noeel
2019-01-02,Mercredi,True,FALSE,,Vacances de Noeel
2019-01-03,Jeudi,True,FALSE,,Vacances de Noeel
2019-01-04,Vendredi,True,FALSE,,Vacances de Noeel
2019-01-05,Samedi,True,FALSE,,Vacances de Noeel
2019-01-06,Dimanche,True,FALSE,,Vacances de Noeel
2019-01-07,Lundi,FALSE,FALSE,,
2019-01-08,Mardi,FALSE,FALSE,,
2019-01-09,Mercredi,FALSE,FALSE,,
2019-01-10,Jeudi,FALSE,FALSE,,
2019-01-11,Vendredi,FALSE,FALSE,,
2019-01-12,Samedi,FALSE,FALSE,,
2019-01-13,Dimanche,FALSE,FALSE,,
2019-01-14,Lundi,FALSE,FALSE,,
2019-01-15,Mardi,FALSE,FALSE,,
2019-01-16,Mercredi,FALSE,FALSE,,
2019-01-17,Jeudi,FALSE,FALSE,,
2019-01-18,Vendredi,FALSE,FALSE,,
2019-01-19,Samedi,FALSE,FALSE,,
2019-01-20,Dimanche,FALSE,FALSE,,
2019-01-21,Lundi,FALSE,FALSE,,
2019-01-22,Mardi,FALSE,FALSE,,
2019-01-23,Mercredi,FALSE,FALSE,,
2019-01-24,Jeudi,FALSE,FALSE,,
2019-01-25,Vendredi,FALSE,FALSE,,
2019-01-26,Samedi,FALSE,FALSE,,
2019-01-27,Dimanche,FALSE,FALSE,,
2019-01-28,Lundi,FALSE,FALSE,,
2019-01-29,Mardi,FALSE,FALSE,,
2019-01-30,Mercredi,FALSE,FALSE,,
2019-01-31,Jeudi,FALSE,FALSE,,
2019-02-01,Vendredi,FALSE,FALSE,,
2019-02-02,Samedi,FALSE,FALSE,,
2019-02-03,Dimanche,FALSE,FALSE,,
2019-02-04,Lundi,FALSE,FALSE,,
2019-02-05,Mardi,FALSE,FALSE,,
2019-02-06,Mercredi,FALSE,FALSE,,
2019-02-07,Jeudi,FALSE,FALSE,,
2019-02-08,Vendredi,FALSE,FALSE,,
2019-02-09,Samedi,FALSE,FALSE,,
2019-02-10,Dimanche,True,FALSE,,Vacances dhiver
2019-02-11,Lundi,True,FALSE,,Vacances dhiver
2019-02-12,Mardi,True,FALSE,,Vacances dhiver
2019-02-13,Mercredi,True,FALSE,,Vacances dhiver
2019-02-14,Jeudi,True,FALSE,,Vacances dhiver
2019-02-15,Vendredi,True,FALSE,,Vacances dhiver
2019-02-16,Samedi,True,FALSE,,Vacances dhiver
2019-02-17,Dimanche,True,FALSE,,Vacances dhiver
2019-02-18,Lundi,True,FALSE,,Vacances dhiver
2019-02-19,Mardi,True,FALSE,,Vacances dhiver
2019-02-20,Mercredi,True,FALSE,,Vacances dhiver
2019-02-21,Jeudi,True,FALSE,,Vacances dhiver
2019-02-22,Vendredi,True,FALSE,,Vacances dhiver
2019-02-23,Samedi,True,FALSE,,Vacances dhiver
2019-02-24,Dimanche,True,FALSE,,Vacances dhiver
2019-02-25,Lundi,FALSE,FALSE,,
2019-02-26,Mardi,FALSE,FALSE,,
2019-02-27,Mercredi,FALSE,FALSE,,
2019-02-28,Jeudi,FALSE,FALSE,,
2019-03-01,Vendredi,FALSE,FALSE,,
2019-03-02,Samedi,FALSE,FALSE,,
2019-03-03,Dimanche,FALSE,FALSE,,
2019-03-04,Lundi,FALSE,FALSE,,
2019-03-05,Mardi,FALSE,FALSE,,
2019-03-06,Mercredi,FALSE,FALSE,,
