Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
18/01/2018;27/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;27/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;27/08/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;28/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;28/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;28/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;28/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;28/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;28/08/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;29/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;29/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;29/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;29/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;29/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;29/08/2018;LG-9416;SCN;TXL;24 PAX;984,00 EUR;1 344,0;24 PAX;67 PAX
18/01/2018;30/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;30/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;30/08/2018;LG-9413;TXL;SCN;1 PAX;41,00 EUR;57,0;0 PAX;67 PAX
18/01/2018;30/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;30/08/2018;LG-9415;TXL;SCN;7 PAX;355,00 EUR;472,0;0 PAX;67 PAX
18/01/2018;30/08/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;31/08/2018;LG-9411;TXL;SCN;11 PAX;475,00 EUR;660,0;0 PAX;67 PAX
18/01/2018;31/08/2018;LG-9412;SCN;TXL;1 PAX;10,00 EUR;52,0;0 PAX;67 PAX
18/01/2018;31/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;31/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
18/01/2018;31/08/2018;LG-9415;TXL;SCN;5 PAX;212,00 EUR;357,0;0 PAX;67 PAX
18/01/2018;31/08/2018;LG-9416;SCN;TXL;2 PAX;82,00 EUR;112,0;0 PAX;67 PAX
19/01/2018;01/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;01/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;01/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;01/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;01/08/2018;LG-9415;TXL;SCN;4 PAX;40,00 EUR;204,0;0 PAX;67 PAX
19/01/2018;01/08/2018;LG-9416;SCN;TXL;3 PAX;30,00 EUR;153,0;0 PAX;67 PAX
19/01/2018;02/08/2018;LG-9411;TXL;SCN;6 PAX;198,00 EUR;270,0;0 PAX;67 PAX
19/01/2018;02/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;02/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;02/08/2018;LG-9414;SCN;TXL;2 PAX;20,00 EUR;102,0;0 PAX;67 PAX
19/01/2018;02/08/2018;LG-9415;TXL;SCN;2 PAX;20,00 EUR;102,0;0 PAX;67 PAX
19/01/2018;02/08/2018;LG-9416;SCN;TXL;1 PAX;41,00 EUR;56,0;0 PAX;67 PAX
19/01/2018;03/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;03/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;03/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;03/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;03/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;03/08/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;04/08/2018;LG-9411;TXL;SCN;2 PAX;128,00 EUR;170,0;0 PAX;67 PAX
19/01/2018;04/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;05/08/2018;LG-9413;TXL;SCN;1 PAX;41,00 EUR;58,0;0 PAX;67 PAX
19/01/2018;05/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;05/08/2018;LG-9415;TXL;SCN;2 PAX;82,00 EUR;116,0;0 PAX;67 PAX
19/01/2018;05/08/2018;LG-9416;SCN;TXL;8 PAX;218,00 EUR;384,0;0 PAX;65 PAX
19/01/2018;06/08/2018;LG-9411;TXL;SCN;4 PAX;156,00 EUR;219,0;0 PAX;67 PAX
19/01/2018;06/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;06/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;06/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;06/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;06/08/2018;LG-9416;SCN;TXL;6 PAX;60,00 EUR;306,0;0 PAX;67 PAX
19/01/2018;07/08/2018;LG-9411;TXL;SCN;4 PAX;132,00 EUR;180,0;0 PAX;67 PAX
19/01/2018;07/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;07/08/2018;LG-9413;TXL;SCN;3 PAX;99,00 EUR;135,0;0 PAX;67 PAX
19/01/2018;07/08/2018;LG-9414;SCN;TXL;2 PAX;66,00 EUR;94,0;0 PAX;67 PAX
19/01/2018;07/08/2018;LG-9415;TXL;SCN;4 PAX;148,00 EUR;206,0;0 PAX;67 PAX
19/01/2018;07/08/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;08/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;08/08/2018;LG-9412;SCN;TXL;2 PAX;66,00 EUR;94,0;0 PAX;67 PAX
19/01/2018;08/08/2018;LG-9413;TXL;SCN;2 PAX;82,00 EUR;116,0;0 PAX;67 PAX
19/01/2018;08/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;08/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;08/08/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;09/08/2018;LG-9411;TXL;SCN;12 PAX;528,00 EUR;1 324,0;0 PAX;67 PAX
19/01/2018;09/08/2018;LG-9412;SCN;TXL;2 PAX;66,00 EUR;94,0;0 PAX;67 PAX
19/01/2018;09/08/2018;LG-9413;TXL;SCN;4 PAX;164,00 EUR;232,0;0 PAX;67 PAX
19/01/2018;09/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;09/08/2018;LG-9415;TXL;SCN;4 PAX;148,00 EUR;272,0;0 PAX;67 PAX
19/01/2018;09/08/2018;LG-9416;SCN;TXL;2 PAX;82,00 EUR;112,0;0 PAX;67 PAX
19/01/2018;10/08/2018;LG-9411;TXL;SCN;7 PAX;303,00 EUR;426,0;0 PAX;67 PAX
19/01/2018;10/08/2018;LG-9412;SCN;TXL;1 PAX;10,00 EUR;51,0;0 PAX;67 PAX
19/01/2018;10/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;10/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;10/08/2018;LG-9415;TXL;SCN;12 PAX;420,00 EUR;678,0;0 PAX;67 PAX
19/01/2018;10/08/2018;LG-9416;SCN;TXL;4 PAX;164,00 EUR;224,0;0 PAX;65 PAX
19/01/2018;11/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;11/08/2018;LG-9412;SCN;TXL;1 PAX;64,00 EUR;87,0;0 PAX;67 PAX
19/01/2018;12/08/2018;LG-9413;TXL;SCN;3 PAX;92,00 EUR;167,0;0 PAX;67 PAX
19/01/2018;12/08/2018;LG-9414;SCN;TXL;4 PAX;200,00 EUR;716,0;0 PAX;67 PAX
19/01/2018;12/08/2018;LG-9415;TXL;SCN;3 PAX;30,00 EUR;153,0;0 PAX;67 PAX
19/01/2018;12/08/2018;LG-9416;SCN;TXL;26 PAX;1 116,00 EUR;1 722,0;0 PAX;67 PAX
19/01/2018;13/08/2018;LG-9411;TXL;SCN;3 PAX;61,00 EUR;160,0;0 PAX;67 PAX
19/01/2018;13/08/2018;LG-9412;SCN;TXL;5 PAX;283,00 EUR;385,0;0 PAX;67 PAX
19/01/2018;13/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;13/08/2018;LG-9414;SCN;TXL;3 PAX;123,00 EUR;168,0;0 PAX;67 PAX
19/01/2018;13/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;13/08/2018;LG-9416;SCN;TXL;9 PAX;369,00 EUR;504,0;0 PAX;67 PAX
19/01/2018;14/08/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;14/08/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;14/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;14/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;14/08/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;14/08/2018;LG-9416;SCN;TXL;2 PAX;66,00 EUR;94,0;0 PAX;67 PAX
19/01/2018;15/08/2018;LG-9411;TXL;SCN;3 PAX;76,00 EUR;141,0;0 PAX;67 PAX
19/01/2018;15/08/2018;LG-9412;SCN;TXL;2 PAX;66,00 EUR;94,0;0 PAX;67 PAX
19/01/2018;15/08/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;15/08/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
19/01/2018;15/08/2018;LG-9415;TXL;SCN;1 PAX;10,00 EUR;51,0;0 PAX;67 PAX
19/01/2018;15/08/2018;LG-9416;SCN;TXL;2 PAX;20,00 EUR;102,0;0 PAX;67 PAX
19/01/2018;16/08/2018;LG-9411;TXL;SCN;5 PAX;165,00 EUR;225,0;0 PAX;67 PAX
