dprio,nn,bench
161,36.46709308333333,41.42929631894242
162,36.527384723194444,41.520874094229555
163,36.65239298333333,41.466922760884444
164,36.65092038611111,41.19054589448748
165,36.62876481916666,41.19539548688704
166,36.47981384805556,41.05693213621044
167,36.23812490277778,41.031455355271675
168,36.04172603652778,40.836481143921986
169,35.96797082819445,40.88180662293021
170,36.14341380902778,40.869437849986085
171,36.15771750333333,40.80791286384457
172,35.894055825972224,40.62218463114406
173,36.01716738055555,40.66787172316726
174,35.93656658319444,40.67876316684634
175,35.77908654583334,41.01844443241768
176,35.75299659527778,41.228305280070316
177,35.68821052458333,41.09959050386054
178,35.49057891416666,40.84840128152343
179,35.38727194402778,40.69720683266491
180,35.447751402777776,40.53563004297476
181,35.67857875138889,40.932884378130105
182,35.59665720618055,41.269657055752724
183,35.480521765,41.29657234384173
184,35.688685427222225,41.33551126809013
185,35.40782904236111,41.10820477476742
186,35.39640972266667,41.28123180985032
187,35.253206748055554,41.000648408514635
188,35.4384834875,41.05491969623654
189,35.17622332222223,40.82802293447063
190,35.13139468055556,40.96505020445913
191,35.28179617777778,41.154938832213865
192,34.866489390277785,40.91485794673068
193,34.79220696069444,40.91255291772956
194,35.00508989583333,41.04258518227659
195,35.403790825,41.00642780589565
196,35.02678935555556,40.75809597590691
197,34.72683043611111,40.41255673707778
198,34.58364609277778,40.45644815137234
199,34.79914948138889,40.19801812995192
200,35.049765861805554,40.71743673009033
201,34.905880580555554,40.89388470788501
202,34.675707700000004,40.71379462598449
203,34.14993363333333,40.55404686588264
204,34.47397323194444,40.75709605706619
205,34.422980144444445,41.04812052157912
206,33.21857976388889,39.27712109638985
207,33.33829467777778,39.7445631931005
208,32.95085492222223,39.4081040961001
209,32.886405036944446,39.50385605328417
210,32.19350470138889,38.1113945290966
211,31.951159978333333,38.28187483404568
212,31.564124640972224,38.02432511662755
213,31.312079712499994,37.95711061413311
214,31.22096762777778,38.025074383571145
215,31.052063501388886,38.22163505292925
216,30.410921105555555,37.864276513816826
217,30.370989208333338,37.92823514659294
218,30.207932111111106,38.09745191898845
219,30.0891644375,38.20108833682664
220,29.746083736111114,37.496611900143115
221,29.603876498611108,37.67914824269892
222,29.238209249999997,37.287045838106714
223,28.65980625,36.648080565452034
224,27.992765733333332,36.08854455324821
225,27.802280380555555,35.8927356975634
226,27.456130290277777,35.717802428151
227,26.726328652777777,35.138202772653614
228,26.799181818055555,35.0841434217607
229,26.754712106944446,34.92932906306704
230,26.62262036388889,35.03977646545391
231,26.152500461111114,34.962603229235356
232,25.666885758333333,34.375263173584734
233,25.414770091666668,34.213737337680364
234,25.068873125,33.24866393160306
235,24.76881333611111,33.11982368006985
236,24.71253376388889,32.90489631592294
237,24.39719247777778,32.46543291462308
238,24.02735257638889,32.07679755872192
239,23.745322136111113,31.647100761575174
240,23.474194179166666,31.56795029904402
241,23.455804346351353,30.68476336000639
242,23.427038881756754,30.763641865080665
243,23.249887256756757,30.536175165001882
244,22.710158456351348,29.82514901410922
245,21.73930300175676,28.47580714562385
246,22.071812048783784,28.695484067033618
247,22.03754003162162,28.445420332553862
248,21.932904437105265,27.980524005520884
249,22.026813480263158,27.926802382219027
250,21.963568700092107,27.752273517619066
251,21.494927411828947,27.427862933073847
252,21.127235860526316,27.029567228876466
253,21.14054576718421,26.880133217407785
254,19.59388288460526,25.026649475407822
255,18.781187403846154,23.75553672708724
256,18.94916424589744,23.667846963910222
257,18.89451975528205,23.41226528411323
258,17.608510853871,22.3234076826794
259,17.601962562,22.3864248146664
260,17.8140631953125,22.379255188074165
261,16.338021727,20.752526121731762
