FltNum,DepDate,DepTime
9412,27/10/2018,08:50:00
9412,29/10/2018,09:40:00
9412,30/10/2018,09:40:00
9412,31/10/2018,09:40:00
9412,1/11/2018,09:40:00
9412,2/11/2018,09:40:00
9412,3/11/2018,09:40:00
9412,5/11/2018,09:40:00
9412,6/11/2018,09:40:00
9412,7/11/2018,09:40:00
9412,8/11/2018,09:40:00
9412,9/11/2018,09:40:00
9412,10/11/2018,09:40:00
9412,12/11/2018,09:40:00
9412,13/11/2018,09:40:00
9412,17/11/2018,09:40:00
9412,19/11/2018,09:40:00
9412,20/11/2018,09:40:00
9412,22/11/2018,09:40:00
9412,23/11/2018,09:40:00
9412,24/11/2018,09:40:00
9412,26/11/2018,09:40:00
9412,27/11/2018,09:40:00
9412,28/11/2018,09:40:00
9412,29/11/2018,09:40:00
9412,1/12/2018,09:40:00
9412,3/12/2018,09:40:00
9412,4/12/2018,09:40:00
9412,5/12/2018,09:40:00
9412,6/12/2018,09:40:00
9412,7/12/2018,09:40:00
9412,8/12/2018,09:40:00
9412,10/12/2018,09:40:00
9412,11/12/2018,09:40:00
9412,12/12/2018,09:40:00
9412,13/12/2018,09:40:00
9412,14/12/2018,09:40:00
9412,15/12/2018,09:40:00
9412,17/12/2018,09:40:00
9412,18/12/2018,09:40:00
9412,19/12/2018,09:40:00
9412,20/12/2018,09:40:00
9412,21/12/2018,09:40:00
9412,22/12/2018,09:40:00
9412,24/12/2018,09:40:00
9412,29/12/2018,09:40:00
9412,31/12/2018,09:40:00
9412,5/1/2019,09:40:00
9412,7/1/2019,09:40:00
9412,8/1/2019,09:40:00
9412,9/1/2019,09:40:00
9412,10/1/2019,09:40:00
9412,11/1/2019,09:40:00
9412,12/1/2019,09:40:00
9412,14/1/2019,09:40:00
9412,15/1/2019,09:40:00
9412,16/1/2019,09:40:00
9412,17/1/2019,09:40:00
9412,18/1/2019,09:40:00
9412,19/1/2019,09:40:00
9412,21/1/2019,09:40:00
9412,22/1/2019,09:40:00
9412,23/1/2019,09:40:00
9412,24/1/2019,09:40:00
9412,25/1/2019,09:40:00
9412,26/1/2019,09:40:00
9412,28/1/2019,09:40:00
9412,29/1/2019,09:40:00
9412,30/1/2019,09:40:00
9412,31/1/2019,09:40:00
9412,2/1/2018,09:40:00
9412,3/1/2018,09:40:00
9412,4/1/2018,09:40:00
9412,5/1/2018,09:40:00
9412,6/1/2018,09:40:00
9412,8/1/2018,09:40:00
9412,9/1/2018,09:40:00
9412,10/1/2018,09:40:00
9412,11/1/2018,09:40:00
9412,12/1/2018,09:40:00
9412,13/1/2018,09:40:00
9412,15/1/2018,09:40:00
9412,16/1/2018,09:40:00
9412,17/1/2018,09:40:00
9412,18/1/2018,09:40:00
9412,19/1/2018,09:40:00
9412,20/1/2018,09:40:00
9412,22/1/2018,09:40:00
9412,23/1/2018,09:40:00
9412,24/1/2018,09:40:00
9412,25/1/2018,09:40:00
9412,26/1/2018,09:40:00
9412,27/1/2018,09:40:00
9412,29/1/2018,09:40:00
9412,30/1/2018,09:40:00
9412,31/1/2018,09:40:00
9412,1/2/2018,09:40:00
9412,2/2/2018,09:40:00
9412,3/2/2018,09:40:00
9412,5/2/2018,09:40:00
9412,6/2/2018,09:40:00
9412,7/2/2018,09:40:00
9412,8/2/2018,09:40:00
9412,9/2/2018,09:40:00
9412,10/2/2018,09:40:00
9412,12/2/2018,09:40:00
9412,13/2/2018,09:40:00
9412,14/2/2018,09:40:00
9412,15/2/2018,09:40:00
9412,16/2/2018,09:40:00
9412,17/2/2018,09:40:00
9412,19/2/2018,09:40:00
9412,20/2/2018,09:40:00
9412,21/2/2018,09:40:00
9412,22/2/2018,09:40:00
9412,23/2/2018,09:40:00
9412,24/2/2018,09:40:00
9412,26/2/2018,09:40:00
9412,27/2/2018,09:40:00
9412,1/3/2018,09:40:00
9412,2/3/2018,09:40:00
9412,3/3/2018,09:40:00
9412,5/3/2018,09:40:00
9412,6/3/2018,09:40:00
9412,7/3/2018,09:40:00
9412,8/3/2018,09:40:00
9412,9/3/2018,09:40:00
9412,10/3/2018,09:40:00
9412,12/3/2018,09:40:00
9412,13/3/2018,09:40:00
9412,14/3/2018,09:40:00
9412,15/3/2018,09:40:00
9412,16/3/2018,09:40:00
9412,17/3/2018,09:40:00
9412,19/3/2018,09:40:00
9412,20/3/2018,09:40:00
9412,21/3/2018,09:40:00
9412,22/3/2018,09:40:00
9412,23/3/2018,09:40:00
9412,24/3/2018,09:40:00
9413,1/1/2018,18:30:00
9413,2/1/2018,18:30:00
9413,3/1/2018,18:30:00
9413,4/1/2018,18:30:00
9413,5/1/2018,18:30:00
9413,7/1/2018,18:30:00
9413,8/1/2018,18:30:00
9413,9/1/2018,18:30:00
9413,10/1/2018,18:30:00
9413,11/1/2018,18:30:00
9413,12/1/2018,18:30:00
9413,14/1/2018,18:30:00
9413,15/1/2018,18:30:00
9413,16/1/2018,18:30:00
9413,17/1/2018,18:30:00
9413,18/1/2018,18:30:00
9413,19/1/2018,18:30:00
9413,21/1/2018,18:30:00
9413,22/1/2018,18:30:00
9413,23/1/2018,18:30:00
9413,24/1/2018,18:30:00
9413,25/1/2018,18:30:00
9413,26/1/2018,18:30:00
9413,28/1/2018,18:30:00
9413,29/1/2018,18:30:00
9413,30/1/2018,18:30:00
9413,31/1/2018,18:30:00
9413,1/2/2018,18:30:00
9413,2/2/2018,18:30:00
9413,4/2/2018,18:30:00
9413,5/2/2018,18:30:00
