Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
26/10/2017;26/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;230,0;0 PAX;67 PAX
26/10/2017;27/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;27/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;28/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;230,0;0 PAX;67 PAX
26/10/2017;28/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;28/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;28/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;388,0;0 PAX;67 PAX
26/10/2017;29/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;388,0;0 PAX;67 PAX
26/10/2017;29/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;29/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;138,0;0 PAX;67 PAX
26/10/2017;29/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;29/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;29/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;30/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;30/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;30/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;30/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;30/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;30/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;31/01/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;31/01/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;31/01/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;31/01/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;31/01/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;31/01/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;01/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;01/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;01/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;01/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;184,0;0 PAX;67 PAX
26/10/2017;01/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;01/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;02/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;02/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;02/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;02/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;02/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;02/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;03/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;03/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;138,0;0 PAX;67 PAX
26/10/2017;04/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;04/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;04/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;92,0;0 PAX;67 PAX
26/10/2017;04/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;46,0;0 PAX;67 PAX
26/10/2017;05/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;274,0;0 PAX;67 PAX
26/10/2017;05/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;05/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;05/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;05/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;05/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;06/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;06/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;06/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;06/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;06/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;06/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;07/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;07/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;07/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;07/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;138,0;0 PAX;67 PAX
26/10/2017;07/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;07/02/2018;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;08/02/2018;LG-9411;TXL;SCN;0 PAX;0,00 EUR;138,0;0 PAX;67 PAX
26/10/2017;08/02/2018;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;08/02/2018;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;08/02/2018;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
26/10/2017;08/02/2018;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
