Route,FltNum,BidPrice,IssueDate,DepDate,yday,dday,dtime,month,Dprio
LUX-BRI,6407,157,2019-05-28,2019-09-08,251,Sunday,12:05,9,103.0
LUX-BRI,6407,465,2019-05-27,2019-09-08,251,Sunday,14:55,9,104.0
LUX-BRI,6407,472,2019-05-28,2019-09-08,251,Sunday,14:55,9,103.0
LUX-BRI,6407,0,2019-05-27,2019-09-10,253,Tuesday,11:45,9,106.0
LUX-BRI,6407,0,2019-05-28,2019-09-10,253,Tuesday,11:45,9,105.0
LUX-BRI,6407,183,2019-05-27,2019-09-10,253,Tuesday,14:35,9,106.0
LUX-BRI,6407,164,2019-05-28,2019-09-10,253,Tuesday,14:35,9,105.0
LUX-BRI,6407,0,2019-05-27,2019-09-13,256,Friday,11:45,9,109.0
LUX-BRI,6407,0,2019-05-28,2019-09-13,256,Friday,11:45,9,108.0
LUX-BRI,6407,270,2019-05-27,2019-09-13,256,Friday,14:35,9,109.0
LUX-BRI,6407,272,2019-05-28,2019-09-13,256,Friday,14:35,9,108.0
LUX-BRI,6407,204,2019-05-27,2019-09-15,258,Sunday,12:05,9,111.0
LUX-BRI,6407,269,2019-05-28,2019-09-15,258,Sunday,12:05,9,110.0
LUX-BRI,6407,447,2019-05-27,2019-09-15,258,Sunday,14:55,9,111.0
LUX-BRI,6407,447,2019-05-28,2019-09-15,258,Sunday,14:55,9,110.0
LUX-BRI,6407,0,2019-05-27,2019-09-17,260,Tuesday,11:45,9,113.0
LUX-BRI,6407,0,2019-05-28,2019-09-17,260,Tuesday,11:45,9,112.0
LUX-BRI,6407,308,2019-05-27,2019-09-17,260,Tuesday,14:35,9,113.0
LUX-BRI,6407,307,2019-05-28,2019-09-17,260,Tuesday,14:35,9,112.0
LUX-BRI,6407,0,2019-05-27,2019-09-20,263,Friday,11:45,9,116.0
LUX-BRI,6407,0,2019-05-28,2019-09-20,263,Friday,11:45,9,115.0
LUX-BRI,6407,151,2019-05-27,2019-09-20,263,Friday,14:35,9,116.0
LUX-BRI,6407,125,2019-05-28,2019-09-20,263,Friday,14:35,9,115.0
LUX-BRI,6407,0,2019-05-27,2019-09-22,265,Sunday,12:05,9,118.0
